USDOT,MC_docket#,entity_type,operating_status,out_of_service,legal_name,dba_name,contact_name,physical_address,business_phone,mobile_number,email_address,mailnig_address,power units,drivers,mcs 150,Mileage (Year),operation_classification,carrier_operation,cargo_carried
3336952,,CARRIER,NOT AUTHORIZED,None,GOLD CARGO TRANSPORTATION LLC,,GOLD CARGO TRANSPORTATION LLC,"2144 CAMINITO ELDA 92
CHULA VISTA, CA   91915",(619) 921-1803,(619) 921-1803,GOLDCARGO2019@GMAIL.COM,"416 W SAN YSIDRO BLVD L 1138
SAN YSIDRO, CA   92173",1,1,9/30/2019,1 (2018),"Auth. For Hire, ","Interstate, ","General Freight, "
3336977,,CARRIER,NOT AUTHORIZED,None,GOYAL TRANSPORT INC,,GOYAL TRANSPORT INC,"3100 AUGUSTA ST
CHOWCHILLA, CA   93610",(559) 273-8915,(559) 273-8915,GOYALTRANSPORTINC@GMAIL.COM,"3100 AUGUSTA ST
CHOWCHILLA, CA   93610-8483",1,1,9/20/2019,,"Auth. For Hire, ","Interstate, ","General Freight, "
3336979,,CARRIER,ACTIVE,None,BKA TRUCK INC,,BKA TRUCK INC,"645 DODY DR
MANTECA, CA   95337-8711",(408) 644-6545,(408) 644-6545,JASWINDERD362@GMAIL.COM,"645 DODY DR
MANTECA, CA   95337-8711",1,1,9/20/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3336981,,CARRIER,ACTIVE,None,PARAM TRANS INC,,PARAM TRANS INC,"39867 FREMONT BLVD APT 208
FREMONT, CA   94538-2602",(669) 246-1891,(669) 246-1891,MRPAM97@GMAIL.COM,"39867 FREMONT BLVD APT 208
FREMONT, CA   94538-2602",1,1,9/20/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3336987,,CARRIER,NOT AUTHORIZED,None,BRAR FREIGHT INC,,BRAR FREIGHT INC,"1246 6TH ST
LIVINGSTON, CA   95334",(209) 648-5884,(209) 648-5884,VICKY_BRAR24@YAHOO.COM,"1246 6TH ST
LIVINGSTON, CA   95334-1235",1,1,9/20/2019,,"Auth. For Hire, ","Interstate, ","General Freight, Paper Products, "
3337103,,CARRIER,ACTIVE,None,VICTOR M PORTILLO ANGEL,,VICTOR M PORTILLO ANGEL,"15050 CONDOR RD
VICTORVILLE, CA   92394-2104",(626) 382-8120,(626) 382-8120,TIS22S_BITCH@YAHOO.COM,"15050 CONDOR RD
VICTORVILLE, CA   92394-2104",1,1,9/20/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3337156,,CARRIER,ACTIVE,None,DILVER M LARA GARCIA,SULA TRANSPORTATION,DILVER M LARA GARCIA,"613 1/2 N KENMORE AVE
LOS ANGELES, CA   90004-2109",(213) 249-2040,(213) 249-2040,DILVETG@GMAIL.COM,"613 1/2 N KENMORE AVE
LOS ANGELES, CA   90004-2109",2,1,9/23/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3337164,,CARRIER,ACTIVE,None,BLANCA CECILIA DIAZ,AB DIAZ TRUCKING,BLANCA CECILIA DIAZ,"509 THYNNE ST
MONTEBELLO, CA   90640-4944",(323) 864-3184,(323) 864-3184,CATRUCKING@YAHOO.COM,"509 THYNNE ST
MONTEBELLO, CA   90640-4944",1,1,9/20/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3337185,,CARRIER,ACTIVE,None,ROLEYS QUALITY TRANSPORT LLC,,ROLEYS QUALITY TRANSPORT LLC,"1113 1/2 DAULTON AVE
MADERA, CA   93638-2201",(559) 900-1043,(559) 900-1043,ROLANDOTORRES96@GMAIL.COM,"1113 1/2 DAULTON AVE
MADERA, CA   93638-2201",1,1,9/20/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3337192,,CARRIER,NOT AUTHORIZED,None,JDM TRUCKING,,JDM TRUCKING,"7136 CASCADE AVE
OAK HILLS, CA   92344",(760) 885-2485,(760) 885-2485,JDM.TRUCKING@OUTLOOK.COM,"7136 CASCADE AVE
OAK HILLS, CA   92344-8108",1,1,9/20/2019,,"Auth. For Hire, ","Interstate, ","Motor Vehicles, Drive/Tow away, "
3337261,,CARRIER,ACTIVE,None,P & A DELIVERY,,P & A DELIVERY,"17512 GRAND AVE
LAKE ELSINORE, CA   92530-5872",(323) 717-3568,(323) 717-3568,ALMA3568@GMAIL.COM,"14813 S CASTLEGATE AVE
COMPTON, CA   90221-3021",72,2,9/20/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","Household Goods, "
3337324,,CARRIER,ACTIVE,None,AFFORDABLE MOVERS LLC,,AFFORDABLE MOVERS LLC,"716 CLARINADA AVE
DALY CITY, CA   94015-4212",(213) 952-0716,(213) 952-0716,TOKSANBAYEVK@GMAIL.COM,"716 CLARINADA AVE
DALY CITY, CA   94015-4212",1,1,9/20/2019,1 (2018),"Auth. For Hire, ","Intrastate Only (Non-HM), ","Household Goods, "
3337327,,CARRIER,ACTIVE,None,EZEQUIEL'S DELIVERY SERVICE,,EZEQUIEL'S DELIVERY SERVICE,"17512 GRAND AVE
LAKE ELSINORE, CA   92530-5872",(951) 422-1398,(951) 422-1398,ILLEST461@GMAIL.COM,"17512 GRAND AVE
LAKE ELSINORE, CA   92530-5872",0,1,9/20/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","Household Goods, "
3337329,,CARRIER,ACTIVE,None,HERMES TRANSPORTATION LLC,,HERMES TRANSPORTATION LLC,"37532 PATRICIA LN
PALMDALE, CA   93552-4467",(818) 201-8931,(818) 201-8931,SKYLINEH7@GMAIL.COM,"37532 PATRICIA LN
PALMDALE, CA   93552-4467",1,1,9/20/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3337380,,CARRIER,NOT AUTHORIZED,None,HYPERSONIC TRANSPORT LLC,,HYPERSONIC TRANSPORT LLC,"1244 CAMRAN AVE
LANCASTER, CA   93535",(661) 349-3962,(661) 349-3962,HYPERSONICTRANSPORTLLC@GMAIL.COM,"43824 20TH ST W # 5252
LANCASTER, CA   93539-7610",1,1,9/20/2019,,"Auth. For Hire, ","Interstate, ","General Freight, "
3337395,,CARRIER,ACTIVE,None,LOADED LOGISTICS INC,,LOADED LOGISTICS INC,"6622 VARNA AVE
VAN NUYS, CA   91401-1217",(424) 316-9999,(424) 316-9999,LOADEDLOG@GMAIL.COM,"6622 VARNA AVE
VAN NUYS, CA   91401-1217",1,1,9/20/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3337408,,CARRIER,ACTIVE,None,SOLIS BROS TRUCKING,,SOLIS BROS TRUCKING,"3707 ST ANDREWS PL
LOS ANGELES, CA   90018",(323) 331-6138,(323) 331-6138,SOLISTRUCKING13@GMAIL.COM,"3707 ST ANDREWS PL
LOS ANGELES, CA   90018",1,1,10/7/2019,1 (2018),"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, Household Goods, "
3337418,,CARRIER,NOT AUTHORIZED,None,NEPTUNE TRANSPORT INC,,NEPTUNE TRANSPORT INC,"3020 STINE RD APT 13
BAKERSFIELD, CA   93309",(661) 706-1856,(661) 706-1856,NEPTUNE.TRANSPORT@OUTLOOK.COM,"3020 STINE RD APT 13
BAKERSFIELD, CA   93309-5865",1,1,9/20/2019,,"Auth. For Hire, ","Interstate, ","General Freight, Liquids/Gases, Chemicals, "
3337426,,CARRIER,ACTIVE,None,LOUD TRANSPORT,,LOUD TRANSPORT,"3911 DALLEY WAY
JURUPA VALLEY, CA   92509-2707",(951) 582-1275,(951) 582-1275,HILDA7580@GMAIL.COM,"3911 DALLEY WAY
JURUPA VALLEY, CA   92509-2707",6,6,9/21/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3337440,,CARRIER,ACTIVE,None,GURU RAMDAS LOGISTICS INC,,GURU RAMDAS LOGISTICS INC,"39867 FREMONT BLVD APT 208
FREMONT, CA   94538-2602",(408) 786-7161,(408) 786-7161,GURJEETSINGH824@GMAIL.COM,"39867 FREMONT BLVD APT 208
FREMONT, CA   94538-2602",1,1,9/21/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3337480,,CARRIER,ACTIVE,None,RIGHTEOUS LIVING TRANSPORT LLC,,,"6845 NEW MELONES CIR
DISCOVERY BAY, CA   94505",(925) 978-6042,,,"6845 NEW MELONES CIR
DISCOVERY BAY, CA   94505",1,1,10/10/2019,1 (2018),"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3337485,,CARRIER,ACTIVE,None,ISRAEL F SORIANO,JESNA LOGISTIC,ISRAEL F SORIANO,"16619 DOWNEY AVENUE APT 19H
PARAMOUNT, CA   90723-5531",(310) 704-6585,(310) 704-6585,JESNALOGISTIC@GMAIL.COM,"16619 DOWNEY AVENUE APT 19H
PARAMOUNT, CA   90723-5531",1,1,9/24/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3337487,,CARRIER,ACTIVE,None,EVELYN SEPULVEDA GARIBAY,EG TRANSPORT,EVELYN SEPULVEDA GARIBAY,"12197 LOREZ DR
MORENO VALLEY, CA   92557-7436",(951) 419-9757,(951) 419-9757,E.GARIBAY951@GMAIL.COM,"12197 LOREZ DR
MORENO VALLEY, CA   92557-7436",1,1,9/21/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3337490,,CARRIER,ACTIVE,None,RICHARD RUBEN GARCIA,G&G TRUCKING,RICHARD RUBEN GARCIA,"11554 COTTONWOOD AVE
HESPERIA, CA   92345-1916",(626) 410-5138,(626) 410-5138,BIGRICH2001@GMAIL.COM,"11554 COTTONWOOD AVE
HESPERIA, CA   92345-1916",0,2,10/1/2019,1 (2018),"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3337495,,CARRIER,NOT AUTHORIZED,None,MARIANA AGUINIGA,ALMEX TRANSLOG,MARIANA AGUINIGA,"6040 SAN MIGUEL RD
BONITA, CA   91902",(858) 753-3681,(858) 753-3681,MARIANNA.TOPETE@GMAIL.COM,"6040 SAN MIGUEL RD
BONITA, CA   91902-2949",1,1,9/21/2019,,"Auth. For Hire, ","Interstate, ","General Freight, "
3337499,,CARRIER,ACTIVE,None,K & H TRANSPORTATION SERVICES LLC,,K & H TRANSPORTATION SERVICES LLC,"7240 SHIRLEY AVE UNIT 301
RESEDA, CA   91335-3463",(818) 913-2498,(818) 913-2498,KHTRANSPORTATIONS@GMAIL.COM,"7240 SHIRLEY AVE UNIT 301
RESEDA, CA   91335-3463",1,1,9/21/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","Passengers, "
3337515,,CARRIER,NOT AUTHORIZED,None,ULYSES A SANDOVAL,EXLCUSIVE TRANSPORT,EXCLUSIVE TRANSPORT,"16541 INYO STREET
LA PUENTE, CA   91744",(162) 653-3381,(626) 536-3381,ULYR1@MAIL.COM,"16541 INYO ST
LA PUENTE, CA   91744-5539",1,1,10/30/2019,"5,000 (2019)","Auth. For Hire, ","Intrastate Only (Non-HM), ","Motor Vehicles, "
3337610,,CARRIER,ACTIVE,None,ONEIDA JEANETH VELASQUEZ LOVO,,ONEIDA JEANETH VELASQUEZ LOVO,"2826 CURTIS AVE
REDWOOD CITY, CA   94063-3312",(650) 481-5681,(650) 481-5681,ANYGARCIA352@GMAIL.COM,"2826 CURTIS AVE
REDWOOD CITY, CA   94063-3312",1,2,9/23/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3337616,,CARRIER,ACTIVE,None,FAIRWAY CHARTER SERVICE LLC,,FAIRWAY CHARTER SERVICE LLC,"1014 S MEEKER AVE
WEST COVINA, CA   91790-2519",(615) 720-4396,(615) 720-4396,FAIRWAYTRANS@GMAIL.COM,"1014 S MEEKER AVE
WEST COVINA, CA   91790-2519",3,3,9/23/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","Passengers, "
3337670,,CARRIER,ACTIVE,None,STAT COURIER LLC,,STAT COURIER LLC,"3017 DOUGLAS BLVD STE 300
ROSEVILLE, CA   95661-3850",(916) 749-3128,(916) 749-3128,DGILBERT@STATCOURIER.ORG,"3017 DOUGLAS BLVD STE 300
ROSEVILLE, CA   95661-3850",0,50,9/23/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3337678,,CARRIER,ACTIVE,None,MARIO NUNEZ,NUNEZ DELIVERY,MARIO NUNEZ,"655 S FETTERLY AVE
LOS ANGELES, CA   90022-2517",(323) 894-8653,(323) 894-8653,CWILLIAMS798743@GMAIL.COM,"655 S FETTERLY AVE
LOS ANGELES, CA   90022-2517",1,1,9/24/2019,1 (2019),"Auth. For Hire, ","Intrastate Only (Non-HM), ","Household Goods, "
3337756,,CARRIER,ACTIVE,None,SANDHU FREIGHTWAYS INC,,SANDHU FREIGHTWAYS INC,"5225 TENNIS CT
WEED, CA   96094-9369",(530) 262-3359,(530) 262-3359,SANDHUFREIGHTWAYS@GMAIL.COM,"5225 TENNIS CT
WEED, CA   96094-9369",1,1,9/23/2019,1 (2019),"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3337757,,CARRIER,ACTIVE,None,ALFREDO D BADIO RIVERA,,ALFREDO D BADIO RIVERA,"3400 CHAPMAN ST APT 103
LOS ANGELES, CA   90065-5325",(323) 561-4525,(323) 561-4525,ALFREDOBADIO@YAHOO.COM,"3400 CHAPMAN ST APT 103
LOS ANGELES, CA   90065-5325",1,1,9/23/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, OTHER, "
3337796,,CARRIER,NOT AUTHORIZED,None,EVL TRUCKING LLC,,EVL TRUCKING LLC,"25991 CASA ENCANTADOR RD
MORENO VALLEY, CA   92551",(213) 924-8065,(213) 924-8065,VLADILARA102666@GMAIL.COM,"25991 CASA ENCANTADOR RD
MORENO VALLEY, CA   92551-7056",1,1,10/14/2019,"39,568 (2018)","Auth. For Hire, ","Interstate, ","General Freight, "
3337836,,CARRIER,ACTIVE,None,K AND P TRANSPORT LLC,,K AND P TRANSPORT LLC,"261 PATRICIA AVE
PITTSBURG, CA   94565",(925) 752-5808,(925) 752-5808,PEOPLEST79@GMAIL.COM,"261 PATRICIA AVE
PITTSBURG, CA   94565-4108",1,2,11/8/2019,1 (2018),"Auth. For Hire, ","Intrastate Only (Non-HM), ","Motor Vehicles, "
3337881,,CARRIER,NOT AUTHORIZED,None,ROYAL ACE TRANSPORT INC,,ROYAL ACE TRANSPORT INC,"10016 OLIVE ST
BLOOMINGTON, CA   92316-2027",(909) 278-5586,(909) 278-5586,ROYALACEOPERATIONS@GMAIL.COM,"10016 OLIVE ST
BLOOMINGTON, CA   92316-2027",1,1,11/18/2019,10 (2019),"Auth. For Hire, ","Interstate, ","General Freight, "
3337919,,CARRIER,ACTIVE,None,MONZON TRANSPORTATION INC,,MONZON TRANSPORTATION INC,"4818 KIMBALL HILL CIR
STOCKTON, CA   95210-6764",(209) 688-7711,(209) 688-7711,EDICERRAMOS55@GMAIL.COM,"4818 KIMBALL HILL CIR
STOCKTON, CA   95210-6764",1,1,9/23/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3337921,,CARRIER,ACTIVE,None,LEGEND LOGISTICS LLC,,LEGEND LOGISTICS LLC,"1587 163RD AVE
SAN LEANDRO, CA   94578-3122",(510) 631-7488,(510) 631-7488,AMY.VICTORINO@ICLOUD.COM,"1587 163RD AVE
SAN LEANDRO, CA   94578-3122",1,1,9/23/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3337934,,CARRIER,NOT AUTHORIZED,None,FIVEWEST CHAUFFEUR CORP,FIVEWEST CHAUFFEUR LA,FIVEWEST CHAUFFEUR CORP,"28005 SMYTH DR STE 123
VALENCIA, CA   91355",(661) 888-1154,(661) 888-1154,MORRIS@GO5WEST.COM,"28005 SMYTH DR STE 123
VALENCIA, CA   91355-4023",1,1,9/23/2019,,"Auth. For Hire, ","Interstate, ","Passengers, "
3337938,,CARRIER,ACTIVE,None,1-800-PACKOUTS OF LOS ANGELES LLC,,1-800-PACKOUTS OF LOS ANGELES LLC,"3301 N SAN FERNANDO BLVD
BURBANK, CA   91504-2531",(818) 565-3900,(818) 565-3900,MBOYD@TRITECHRESTORATION.COM,"3301 N SAN FERNANDO BLVD
BURBANK, CA   91504-2531",3,8,11/11/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","Household Goods, "
3337959,,CARRIER,ACTIVE,None,BALDEMAR RODRIGUEZ AGUILAR,RODRIGUEZ TRANSPORT,BALDEMAR RODRIGUEZ AGUILAR,"4315 JULIUS CT
STOCKTON, CA   95207-6531",(209) 518-8345,(209) 518-8345,BALDEMARR23@GMAIL.COM,"4315 JULIUS CT
STOCKTON, CA   95207-6531",1,1,9/23/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3337966,,CARRIER,ACTIVE,None,STRAIGHT UP TRANSPORT INC,,STRAIGHT UP TRANSPORT INC,"11875 PIGEON PASS RD STE B13
MORENO VALLEY, CA   92557-6044",(951) 334-4704,(951) 334-4704,JM.AGUILERA@GMAIL.COM,"11875 PIGEON PASS RD STE B13
MORENO VALLEY, CA   92557-6044",1,1,9/23/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3337974,,CARRIER,ACTIVE,None,NISEMI OF FLORIDA LLC,,NISEMI OF FLORIDA LLC,"19831 COURT OF THE MYRTLES
BOCA RATON, FL   33434-3717",(954) 608-0592,(954) 608-0592,MICHELPUJAZON@GMAIL.COM,"19831 COURT OF THE MYRTLES
BOCA RATON, FL   33434-3717",1,1,9/23/2019,1 (2018),"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3337995,,CARRIER,NOT AUTHORIZED,None,VZ TRANSPORTATION INC,,VZ TRANSPORTATION INC,"8408 PECAN AVE
RANCHO CUCAMONGA, CA   91739",(909) 646-3661,(909) 646-3661,VZTRANSPORTATIONINC@GMAIL.COM,"8408 PECAN AVE
RANCHO CUCAMONGA, CA   91739",1,1,9/25/2019,,"Auth. For Hire, ","Interstate, ","General Freight, "
3338015,,CARRIER,ACTIVE,None,MARIA G GARCIA,JJ & A DELIVERYS,MARIA G GARCIA,"450 JUDSON ST SPC 82
REDLANDS, CA   92374-4088",(909) 265-1218,(909) 265-1218,RAMON.ROSAS224@ICLOUD.COM,"450 JUDSON ST SPC 82
REDLANDS, CA   92374-4088",1,1,9/23/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, OTHER, "
3338020,,CARRIER,NOT AUTHORIZED,None,AMERICAN EAGLE INC,,AMERICAN EAGLE INC,"7741 N IVANHOE AVE
FRESNO, CA   93722",(206) 960-3083,(206) 960-3083,VIRK.JATINDER33@GMAIL.COM,"7741 N IVANHOE AVE
FRESNO, CA   93722-2332",1,1,9/23/2019,,"Auth. For Hire, ","Interstate, ","General Freight, Fresh Produce, "
3338031,,CARRIER,NOT AUTHORIZED,None,GROUNDWAY LLC,,GROUNDWAY LLC,"7609 NORTHLAND RD
MANTECA, CA   95336",(209) 647-0746,(209) 647-0746,DELLROSE1313@YAHOO.COM,"7609 NORTHLAND RD
MANTECA, CA   95336-8768",1,1,10/7/2019,100 (2019),"Auth. For Hire, ","Interstate, ","General Freight, "
3338062,,CARRIER,ACTIVE,None,JOAQUIN REYES ARGOTE,IX ENTERPRISES,JOAQUIN REYES ARGOTE,"818 OLEANDER AVE
EL CENTRO, CA   92243-1702",(760) 482-7567,(760) 482-7567,JREYESARGOTE@GMAIL.COM,"818 OLEANDER AVE
EL CENTRO, CA   92243-1702",1,1,9/23/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3338093,,CARRIER,ACTIVE,None,ALAS HAYWARD LLC,,ALAS HAYWARD LLC,"400 HESTER ST
SAN LEANDRO, CA   94577-1024",(424) 264-1100,(424) 264-1100,VICTOR_SY@HOTMAIL.COM,"22852 MORRO DR
CARSON, CA   90745-4747",2,2,9/23/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3338105,,CARRIER,NOT AUTHORIZED,None,ERVILLE MARK PALACIO,PALACIO'S TRANSPORT SERVICE,ERVILLE MARK PALACIO,"640 DRAKE DR
SAN JACINTO, CA   92582",(323) 388-6431,(323) 388-6431,ULLOOSZ2@GMAIL.COM,"640 DRAKE DR
SAN JACINTO, CA   92582",1,1,9/26/2019,"54,000 (2018)","Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3338106,,CARRIER,ACTIVE,None,GENERAL AUTO TRANSPORT INC,,GENERAL AUTO TRANSPORT INC,"11104 ORO VISTA AVE
SUNLAND, CA   91040-2029",(818) 134-2288,(818) 134-2288,GENERALAUTO19@YAHOO.COM,"11104 ORO VISTA AVE
SUNLAND, CA   91040-2029",0,1,9/23/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, Motor Vehicles, "
3338116,MC-917532,CARRIER,NOT AUTHORIZED,None,STONEWALL LOGISTICS INC,,STONEWALL LOGISTICS INC,"7624 WENTWORTH ST
TUJUNGA, CA   91042-1637",(818) 167-0277,(818) 167-0277,STONEWALLLOGISTICSINC@GMAIL.COM,"7624 WENTWORTH ST
TUJUNGA, CA   91042-1637",1,1,11/18/2019,"1,000 (2019)","Auth. For Hire, ","Interstate, ","General Freight, "
3338149,,CARRIER,ACTIVE,None,JAMES SWALVE,SWALVE TRUCKING,JAMES SWALVE,"11470 HAWTHORNE AVE
HESPERIA, CA   92345-1926",(909) 578-1065,(909) 578-1065,JAMESSHERIDAN655@GMAIL.COM,"11470 HAWTHORNE AVE
HESPERIA, CA   92345-1926",1,1,9/24/2019,"10,123 (2018)","Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3338150,,CARRIER,NOT AUTHORIZED,None,CAM DAWSON TRANSPORT LLC,,CAM DAWSON TRANSPORT LLC,"26285 IBEZA RD
MISSION VIEJO, CA   92692",(202) 281-4123,(202) 281-4123,CAMDAWSONTRANSPORT@GMAIL.COM,"26285 IBEZA RD
MISSION VIEJO, CA   92692-5232",1,4,9/24/2019,,"Auth. For Hire, ","Interstate, ","Motor Vehicles, "
3338282,,CARRIER,ACTIVE,None,RJ STUDIO RENTALS INC,,RJ STUDIO RENTALS INC,"1732 SITKA AVE
SIMI VALLEY, CA   93063-3254",(661) 406-3505,(661) 406-3505,RJSTUDIORENTALS@GMAIL.COM,"1732 SITKA AVE
SIMI VALLEY, CA   93063-3254",0,0,9/24/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","OTHER, "
3338283,,CARRIER,ACTIVE,None,NARCEDALIA NUNEZ,THE FORCE SERVICE,NARCEDALIA NUNEZ,"917 OLD LA BLANCA RD
DONNA, TX   78537-8214",(956) 472-4582,(956) 472-4582,THEFORCERGV@GMAIL.COM,"917 OLD LA BLANCA RD
DONNA, TX   78537-8214",2,2,9/24/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3338306,,CARRIER,ACTIVE,None,FLAT RATE JUNK REMOVAL BAY AREA LLC,,FLAT RATE JUNK REMOVAL BAY AREA LLC,"14744 WASHINGTON AVE APT 345
SAN LEANDRO, CA   94578-4298",(800) 299-5865,(800) 299-5865,SAFFIYAHAZIMULLA2018@GMAIL.COM,"14744 WASHINGTON AVE APT 345
SAN LEANDRO, CA   94578-4298",1,4,9/24/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, OTHER, "
3338332,,CARRIER,ACTIVE,None,JUAN A GARCIA GONZALEZ,GARCIA TRANSPORT,JUAN A GARCIA GONZALEZ,"3836 SANDRA DR
BAKERSFIELD, CA   93304-6644",(661) 447-0407,(661) 447-0407,JANTONIOG1989@ICLOUD.COM,"3836 SANDRA DR
BAKERSFIELD, CA   93304-6644",1,1,9/24/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3338340,,CARRIER,ACTIVE,None,MAV TRANSPORTATION INC,,MAV TRANSPORTATION INC,"2839 BROADWAY
HUNTINGTON PK, CA   90255-6349",(323) 217-5384,(323) 217-5384,ALMANZAMANUEL473@GMAIL.COM,"2839 BROADWAY
HUNTINGTON PK, CA   90255-6349",1,1,9/24/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3338351,,CARRIER,ACTIVE,None,TDG INTERIORS INC,,TDG INTERIORS INC,"8111 SWANSTON LN STE 9
GILROY, CA   95020",(408) 594-0648,(408) 594-0648,TDGINTERIORSINC@GMAIL.COM,"8111 SWANSTON LN STE 9
GILROY, CA   95020",1,2,9/26/2019,1 (2018),"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, Machinery, Large Objects, "
3338387,,CARRIER,NOT AUTHORIZED,None,ESTRADA'S TRANSPORTATION LLC,,ESTRADA'S TRANSPORTATION LLC,"1811 S SUTTER ST
STOCKTON, CA   95206",(702) 681-4466,(702) 681-4466,ERIKESTRADA66@ICLOUD.COM,"1811 S SUTTER ST
STOCKTON, CA   95206-2003",1,1,9/24/2019,,"Auth. For Hire, ","Interstate, ","General Freight, Motor Vehicles, "
3338407,,CARRIER,NOT AUTHORIZED,None,AMYZ & BROS INC,,AMYZ & BROS INC,"26045 VIA PERA
MISSION VIEJO, CA   92691",(949) 245-8908,(949) 245-8908,AMYZ.BROSS@GMAIL.COM,"26045 VIA PERA
MISSION VIEJO, CA   92691-2449",1,4,9/24/2019,,"Auth. For Hire, ","Interstate, ","Household Goods, "
3338426,,CARRIER,ACTIVE,None,NAVARRO'S TRANSPORTATION INC,,NAVARRO'S TRANSPORTATION INC,"540 N ELMWOOD AVE
LINDSAY, CA   93247-2023",(559) 586-1144,(559) 586-1144,ELVISNAVARROSORIA@GMAIL.COM,"PO BOX 506
STRATHMORE, CA   93267-0506",4,4,9/24/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, Fresh Produce, "
3338478,,CARRIER,NOT AUTHORIZED,None,RODRICK MCNUTT & DANIEL HOLMES,TOWN BUSINESS TRANSPORTATION,RODRICK MCNUTT & DANIEL HOLMES,"25072 2ND ST
HAYWARD, CA   94541",(510) 253-4715,(510) 253-4715,RODRICK.MCNUTT@YAHOO.COM,"25072 2ND ST
HAYWARD, CA   94541",1,2,10/2/2019,1 (2018),"Auth. For Hire, ","Interstate, ","General Freight, Commodities Dry Bulk, "
3338483,,CARRIER,ACTIVE,None,ALFONSO MARES AVALOS,QUICK SEPTIC PUMP & LIQUID WASTE,ALFONSO MARES AVALOS,"160 SAAVEDRA ST
SOLEDAD, CA   93960-3615",(831) 731-0832,(831) 731-0832,ALFONSOMARES75@GMAIL.COM,"160 SAAVEDRA ST
SOLEDAD, CA   93960-3615",1,1,9/24/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, OTHER, "
3338490,,CARRIER,ACTIVE,None,CANALES TRUCKING LLC,,CANALES TRUCKING LLC,"18700 YORBA LINDA BLVD APT 116
YORBA LINDA, CA   92886-4178",(714) 261-3568,(714) 261-3568,JOSHUA.CANALES3@GMAIL.COM,"18700 YORBA LINDA BLVD APT 116
YORBA LINDA, CA   92886-4178",1,1,9/24/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3338500,,CARRIER,ACTIVE,None,BATINA'S COURIER,,BATINA'S COURIER,"8522 AVERY CT
SACRAMENTO, CA   95828-6352",(916) 477-3630,(916) 477-3630,CLAWSON73@ATT.NET,"8522 AVERY CT
SACRAMENTO, CA   95828-6352",0,2,9/24/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, Paper Products, "
